budget,revenue,original_title,vote_average,release_year
14800000,122413057,Magic Mike XXL,6.3,2015
10000000,78099553,Paranormal Activity: The Ghost Dimension,5,2015
15000000,8235661,Trumbo,7.2,2015
19500000,32189727,Secret in Their Eyes,6.2,2015
74000000,311594032,The SpongeBob Movie: Sponge Out of Water,5.7,2015
20000000,43967255,Max,7,2015
40000000,10664749,The Gunman,5.6,2015
1000000,62882090,Unfriended,5.6,2015
35000000,51680201,Hot Pursuit,5.5,2015
10000000,104303851,Insidious: Chapter 3,6.3,2015
6000000,41387687,The Lady in the Van,5.9,2015
40000000,34227298,Victor Frankenstein,5.5,2015
8000000,3759286,Anomalisa,6.7,2015
2000000,1477002,The Diary of a Teenage Girl,6.8,2015
11000000,27391084,Irrational Man,6.1,2015
18000000,41325328,Ricki and the Flash,5.5,2015
12000000,60273173,The Perfect Guy,5.6,2015
10000000,7587485,While We're Young,5.9,2015
40000000,106511453,Get Hard,5.9,2015
25000000,24902723,The 33,5.8,2015
14000000,16002420,Suffragette,7.1,2015
6000000,11122090,We Are Your Friends,6.2,2015
10000000,85978266,The Second Best Exotic Marigold Hotel,6.4,2015
20000000,6420319,Little Boy,7.1,2015
37000000,26250020,Aloha,5.2,2015
28000000,7002261,Our Brand Is Crisis,5.7,2015
7000000,573335,Freeheld,7.1,2015
3000000,695269,Love,4.7,2015
9600000,2541554,Truth,6.4,2015
10000000,10835752,Danny Collins,6.6,2015
15000000,3020664,Rock the Kasbah,5.1,2015
1000000,14444999,"Hello, My Name Is Doris",6.6,2015
13000000,1784763,The Vatican Tapes,4.5,2015
8000000,1411927,99 Homes,6.8,2015
14000000,12314651,Hot Tub Time Machine 2,5,2015
4000000,143101,Manglehorn,5,2015
8000000,35991087,A Walk in the Woods,5.4,2015
3300000,64110728,The Lazarus Effect,4.9,2015
35000000,14431253,Unfinished Business,4.9,2015
2000000,45431,Lost River,5.7,2015
100000,42664410,The Gallows,5,2015
10000000,3334927,By the Sea,5.4,2015
9000000,21571189,Black or White,6.7,2015
13000000,1646788,I Saw the Light,5.6,2015
5000000,2333684,Jem and the Holograms,5.7,2015
6000000,90777,Beasts of No Nation,7.5,2015
3000000,3387000,Demonic,5,2015
447524,771317,The D Train,4.2,2015
10000000,17472,Strangerland,5,2015
2000000,2801508,Captive,5.7,2015
5000000,4842699,90 Minutes in Heaven,5.7,2015
600000,7087452,Grandma,5.6,2015
3000000,67790117,War Room,6.9,2015
13500000,187674,Stonewall,5.6,2015
165000000,621752480,Interstellar,8,2014
170000000,773312399,Guardians of the Galaxy,7.9,2014
170000000,714766572,Captain America: The Winter Soldier,7.6,2014
20000000,78739897,John Wick,7,2014
125000000,752100229,The Hunger Games: Mockingjay - Part 1,6.6,2014
250000000,955119788,The Hobbit: The Battle of the Five Armies,7.1,2014
165000000,652105443,Big Hero 6,7.8,2014
14000000,233555708,The Imitation Game,8,2014
34000000,348319861,The Maze Runner,7,2014
18000000,103215094,Birdman,7.3,2014
61000000,369330363,Gone Girl,7.9,2014
68000000,211817906,Fury,7.4,2014
127000000,349424282,Night at the Museum: Secret of the Tomb,6.1,2014
85000000,288747895,Divergent,6.9,2014
250000000,746000000,X-Men: Days of Future Past,7.6,2014
40000000,463360063,Lucy,6.3,2014
125000000,477200000,Teenage Mutant Ninja Turtles,5.8,2014
40000000,126069509,Sex Tape,5.3,2014
8500000,38697217,Nightcrawler,7.6,2014
210000000,245500000,Transformers: Age of Extinction,5.9,2014
30000000,174600318,The Grand Budapest Hotel,7.9,2014
3300000,13993093,Whiplash,8.2,2014
170000000,708200000,Dawn of the Planet of the Apes,7.4,2014
55000000,192330738,The Equalizer,7.2,2014
42000000,106645357,Horrible Bosses 2,6.1,2014
200000000,705717432,The Amazing Spider-Man 2,6.6,2014
178000000,370541256,Edge of Tomorrow,7.7,2014
44000000,11305175,The Interview,6.1,2014
58800000,542307423,American Sniper,7.5,2014
140000000,268031828,Exodus: Gods and Kings,5.6,2014
160000000,529076069,Godzilla,6.2,2014
180000000,758410378,Maleficent,7,2014
15000000,32556119,The November Man,6,2014
5000000,102529779,Ouija,4.9,2014
145000000,609123048,How to Train Your Dragon 2,7.7,2014
2000000,13500000,It Follows,6.6,2014
90000000,206172544,The Expendables 3,6.2,2014
60000000,469160692,The Lego Movie,7.5,2014
95000000,114178613,Seventh Son,5.1,2014
15000000,121201940,The Theory of Everything,7.8,2014
17000000,136621271,Let's Be Cops,6.4,2014
70000000,215529201,Dracula Untold,6.1,2014
132000000,373552094,Penguins of Madagascar,6.5,2014
50000000,212902372,Into the Woods,5.6,2014
110000000,337580051,300: Rise of an Empire,6.1,2014
25000000,66980456,The Giver,6.3,2014
50000000,188441614,22 Jump Street,7,2014
28000000,53181600,A Walk Among the Tombstones,6.2,2014
55000000,259207227,Paddington,7.1,2014
7000000,2360281,Cake,6.1,2014
11000000,45967935,Chef,7.2,2014
9000000,108782847,The Purge: Anarchy,6.6,2014
16000000,19682924,Left Behind,3.8,2014
4000000,44349000,Boyhood,7.6,2014
20000000,12007070,A Most Violent Year,6.4,2014
100000000,243400000,Hercules,5.6,2014
125000000,362637473,Noah,5.5,2014
50000000,83719388,The Judge,7.2,2014
40000000,123494610,Blended,6.7,2014
18000000,268157400,Neighbors,6.2,2014
11000000,78874843,If I Stay,7.2,2014
45000000,86165646,Step Up All In,6.7,2014
12000000,305151265,The Fault in Our Stars,7.8,2014
25000000,153997819,Ride Along,6.1,2014
20000000,11110975,Inherent Vice,6.3,2014
60000000,50549107,Jack Ryan: Shadow Recruit,5.9,2014
50000000,222809600,Non-Stop,6.8,2014
5500000,3000000,Predestination,7.2,2014
12600000,18658381,The Drop,6.6,2014
120000000,239379423,RoboCop,5.7,2014
100000000,103039258,Transcendence,5.9,2014
40000000,196781193,The Other Woman,6.2,2014
145000000,272912430,Mr. Peabody & Sherman,6.8,2014
65000000,39407616,Sin City: A Dame to Kill For,6.2,2014
103000000,500188435,Rio 2,6.5,2014
40000000,169837010,Dumb and Dumber To,5.5,2014
70000000,154984035,The Monuments Men,5.7,2014
65000000,163442937,Unbroken,7.2,2014
20000000,66787908,Selma,7.5,2014
4900000,3494070,Mommy,8,2014
15000000,52501541,Wild,6.9,2014
130000000,117831631,Pompeii,5.1,2014
26000000,35926213,The Best of Me,7.2,2014
65000000,133821816,Annie,6.1,2014
50000000,97437106,The Book of Life,7.3,2014
13000000,54837234,St. Vincent,7.1,2014
66000000,203277636,Need for Speed,6.2,2014
22000000,88880821,The Hundred-Foot Journey,7.2,2014
60000000,108255770,The Boxtrolls,6.6,2014
10000000,28883511,Big Eyes,6.8,2014
18000000,266586800,The Prince,4.6,2014
4000000,600896,The Signal,5.8,2014
50000000,160602194,Into the Storm,5.7,2014
50000000,151165787,Planes: Fire & Rescue,5.9,2014
35000000,17508518,Sabotage,5.4,2014
13200000,53830415,No Good Deed,5.8,2014
5000000,41797583,Still Alice,7.5,2014
5000000,40100000,"As Above, So Below",6.1,2014
24000000,12096300,Foxcatcher,6.5,2014
20000000,34077920,Endless Love,6.6,2014
12250000,2295423,The Rover,6,2014
24000000,70181428,Think Like a Man Too,6.2,2014
15000000,9104716,Suite Fran̤aise,6.9,2014
15000000,59209,Walk of Shame,5.7,2014
6500000,255273813,Annabelle,5.6,2014
65000000,71154592,"I, Frankenstein",5.1,2014
8000000,26049082,That Awkward Moment,6,2014
27000000,28831145,Draft Day,6.5,2014
28000000,68896829,Brick Mansions,5.8,2014
2000000,6676471,The Babadook,6.5,2014
20000000,100525432,Tammy,5.1,2014
60000000,30800231,Winter's Tale,5.9,2014
5000000,2367161,The Guest,6.6,2014
22500000,15520023,The Water Diviner,6.8,2014
5000000,6833445,The Green Inferno,4.8,2014
28000000,100654149,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,2014
19800000,41296320,This Is Where I Leave You,6.5,2014
16000000,2429989,The Homesman,6.2,2014
8500000,7500000,Big Game,5.2,2014
40000000,67347013,Jersey Boys,6.7,2014
12500000,49002684,About Last Night,5.8,2014
25000000,38307627,Million Dollar Arm,6.6,2014
5500000,5483299,Wish I Was Here,6.3,2014
6700000,1430655,Infinitely Polar Bear,7,2014
13300000,5380251,Under the Skin,6,2014
6000000,3485127,Veronica Mars,6.3,2014
22000000,67800064,Son of God,5.8,2014
6000000,15071,Barefoot,6.5,2014
3500000,5155325,Justice League: War,7,2014
8500000,770706,The Zero Theorem,5.7,2014
15000000,30127963,When the Game Stands Tall,6.2,2014
2000000,48390,Decoding Annie Parker,5.2,2014
200000,17834867,The Quiet Ones,5.1,2014
15000000,31554855,A Most Wanted Man,6.3,2014
6500000,13865435,The Pyramid,4.7,2014
6600000,1554000,Clouds of Sils Maria,6.8,2014
5000000,2450846,Kill the Messenger,6.5,2014
1000000,9318,Honeymoon,5.3,2014
2000000,4635300,Locke,6.8,2014
36000000,52424533,Dolphin Tale 2,6.8,2014
1000000,26501323,The Woman in Black 2: Angel of Death,4.9,2014
50000000,80383113,Muppets Most Wanted,6.2,2014
2800000,1826705,Tusk,4.9,2014
6000000,1020921,5 Flights Up,5.9,2014
12000000,101332962,Heaven is for Real,6.1,2014
70000000,61279452,The Legend of Hercules,4.4,2014
30000000,25312387,And So It Goes,5.7,2014
2400000,88273,Life After Beth,4.8,2014
5500000,5000000,Miss Julie,5.4,2014
6000000,32251,Song One,5.7,2014
1000000,395000,A Girl Walks Home Alone at Night,7,2014
318000,121179,Afflicted,6.1,2014
7000000,14618727,Beyond the Lights,6.9,2014
5000000,10429707,Moms' Night Out,5.7,2014
13000000,45300000,Earth to Echo,5.7,2014
25000000,39171130,The Gambler,5.6,2014
12700000,3430018,The Grand Seduction,6.7,2014
4000000,2365467,Joe,6.5,2014
500000,15000000,Parts Per Billion,4.8,2014
5000000,75143,Better Living Through Chemistry,5.9,2014
17000000,29789000,God's Not Dead,6.1,2014
7000000,36433975,Devil's Due,4.5,2014
5000000,4013786,My Old Lady,6,2014
8000000,53086,Aloft,5.1,2014
5900000,23000000,Mrs. Brown's Boys D'Movie,5.2,2014
11000000,775398007,Star Wars,7.9,1977
14000000,185438673,The Spy Who Loved Me,6.2,1977
1200000,71215869,The Rescuers,6.6,1977
4000000,38251425,Annie Hall,7.6,1977
20000000,303788635,Close Encounters of the Third Kind,7,1977
22000000,50750000,A Bridge Too Far,6.4,1977
3500000,16000000,Sinbad and the Eye of the Tiger,5.9,1977
3500000,237113184,Saturday Night Fever,6.3,1977
3400000,31063038,High Anxiety,6.2,1977
5500000,26414658,The Gauntlet,6.7,1977
14000000,30749142,Exorcist II: The Heretic,4.6,1977
6000000,30000000,Airport '77,5.7,1977
10000,7000000,Eraserhead,7.1,1977
6000000,14717854,Orca: The Killer Whale,5,1977
22000000,12000000,Sorcerer,7.4,1977
810000,1258000,The Last Wave,5.8,1977
500000,17000000,Kingdom of the Spiders,5.7,1977
1200000,9000000,Wizards,6,1977
230000,25000000,The Hills Have Eyes,6,1977
237000000,2781505847,Avatar,7.1,2009
70000000,319131050,Inglourious Basterds,7.7,2009
35000000,91327197,Underworld: Rise of the Lycans,6.2,2009
250000000,933959197,Harry Potter and the Half-Blood Prince,7.3,2009
175000000,731342744,Up,7.6,2009
150000000,385680446,Star Trek,7.3,2009
200000000,371353001,Terminator Salvation,5.8,2009
30000000,210819611,District 9,7.1,2009
90000000,524028679,Sherlock Holmes,6.9,2009
7500000,60722734,(500) Days of Summer,7.3,2009
90000000,886686817,Ice Age: Dawn of the Dinosaurs,6.4,2009
35000000,459270619,The Hangover,7.1,2009
130000000,185258983,Watchmen,6.8,2009
200000000,769653595,2012,5.6,2009
30000000,48428063,9,6.5,2009
150000000,356613439,Angels & Demons,6.3,2009
105000000,267045765,The Princess and the Frog,6.5,2009
29000000,309208309,The Blind Side,7.1,2009
23600000,102391382,Zombieland,7.1,2009
50000000,709827462,The Twilight Saga: New Moon,5.6,2009
40000000,177259441,He's Just Not That Into You,6,2009
175000000,302469017,G.I. Joe: The Rise of Cobra,5.7,2009
40000000,317375031,The Proposal,6.7,2009
38000000,205298907,The Ugly Truth,6.3,2009
100000000,242988466,Cloudy with a Chance of Meatballs,6.4,2009
40000000,46471023,Fantastic Mr. Fox,7.5,2009
60000000,124596398,Coraline,7.1,2009
150000000,413106170,Night at the Museum: Battle of the Smithsonian,5.9,2009
20000000,136267476,17 Again,6,2009
200000000,325233863,A Christmas Carol,6.6,2009
65000000,93525586,The Lovely Bones,6.6,2009
26000000,183293131,Paul Blart: Mall Cop,5.4,2009
16000000,47801389,Hachi: A Dog's Tale,7.7,2009
53000000,126690726,Law Abiding Citizen,7.2,2009
30000000,33333531,The Box,5.3,2009
20000000,34560577,Crank: High Voltage,5.9,2009
33000000,20645327,Pandorum,6.2,2009
30000000,90842646,Drag Me to Hell,6.1,2009
50000000,155446362,Knowing,5.7,2009
5000000,9760104,Moon,7.4,2009
150000000,292817841,G-Force,5.1,2009
100000000,150166126,The Taking of Pelham 1 2 3,6.1,2009
18500000,31912793,The Invention of Lying,5.8,2009
40000000,108332743,Confessions of a Shopaholic,6,2009
50000000,40828540,Gamer,5.6,2009
47000000,3547209,Mr. Nobody,7.8,2009
70000000,171844840,Couples Retreat,5.3,2009
26000000,43318349,Brothers,6.7,2009
32000000,27635305,The Road,6.7,2009
175000000,381509870,Monsters vs Aliens,6,2009
3000000,2357852,Fish Tank,6.6,2009
40000000,129540499,Julie & Julia,6.5,2009
15000000,8459458,Chloe,5.9,2009
80000000,214104620,Public Enemies,6.5,2009
16000000,31556061,Jennifer's Body,5.2,2009
20000000,41596251,Orphan,6.5,2009
15000000,40105542,All About Steve,4.6,2009
40000000,186167139,The Final Destination,5.5,2009
75000000,443140005,Alvin and the Chipmunks: The Squeakquel,5.3,2009
4500000,3606395,After.Life,5.2,2009
30000000,114663461,Bride Wars,5.8,2009
10000000,63647833,Precious,6.8,2009
60000000,87784194,State of Play,6.6,2009
16000000,76514050,The Unborn,4.9,2009
14700000,8049666,"New York, I Love You",5.6,2009
41000000,91636986,"I Love You, Man",6.4,2009
22000000,35424826,The Informant!,6,2009
50000000,106303988,Race to Witch Mountain,5.4,2009
27000000,29000000,Case 39,6,2009
50000000,36348784,The Boat That Rocked,7.1,2009
20000000,51416464,Daybreakers,5.9,2009
39000000,101229792,The Time Traveler's Wife,6.5,2009
11000000,791867,Antichrist,6.2,2009
18000000,36133014,Love Happens,5.5,2009
38000000,45465299,Push,5.8,2009
17000000,29536299,Brooklyn's Finest,6.1,2009
11000000,68233629,Saw VI,5.9,2009
35000000,27409889,The Young Victoria,6.9,2009
7000000,31430334,A Serious Man,6.4,2009
14000000,22852638,A Perfect Getaway,6.1,2009
40000000,12206028,Whiteout,5.2,2009
13000000,10652035,I Love You Phillip Morris,6.3,2009
13000000,754249,Enter the Void,7.1,2009
20000000,17280326,12 Rounds,5.9,2009
9000000,70000000,3 Idiots,7.8,2009
150000000,836297228,Transformers: Revenge of the Fallen,6,2009
24000000,68729358,The Men Who Stare at Goats,5.8,2009
40000000,60462347,Ninja Assassin,6.1,2009
20000000,5210988,Bandslam,5.5,2009
100000000,100086793,Where the Wild Things Are,6.3,2009
85000000,219103655,It's Complicated,6.2,2009
100000000,68688831,Land of the Lost,5.4,2009
60000000,122233971,Invictus,6.9,2009
70000000,104945765,Planet 51,5.7,2009
60000000,62357900,Year One,4.5,2009
4500000,744816,Life During Wartime,5.1,2009
12000000,1644755,Ondine,6.2,2009
15000000,100734718,My Bloody Valentine,5.3,2009
35000000,92219310,Old Dogs,5.2,2009
70000000,39041505,Agora,6.6,2009
8000000,10629321,The Boondock Saints II: All Saints Day,5.9,2009
25000000,10589102,The Bad Lieutenant: Port of Call - New Orleans,5.8,2009
30000000,61808775,The Imaginarium of Doctor Parnassus,6.2,2009
20000000,1017401,Horsemen,6,2009
20000000,22942221,Armored,5.6,2009
40000000,28169671,Cirque du Freak: The Vampire's Assistant,5.5,2009
9000000,985117,Leaves of Grass,5.6,2009
7500000,26096852,An Education,6.8,2009
75000000,61458982,Funny People,5.5,2009
25000000,163670000,Up in the Air,6.6,2009
65000000,44091067,Astro Boy,6,2009
50000000,60161391,The International,5.8,2009
14000000,875386,Universal Soldier: Regeneration,5.3,2009
85000000,363164265,Fast & Furious,6.4,2009
20000000,17436509,Capitalism: A Love Story,6.9,2009
15000000,39421467,Halloween II,5.2,2009
35000000,155545279,Hannah Montana: The Movie,5.8,2009
15000000,8786375,Banlieue 13 - Ultimatum,5.9,2009
45000000,57881056,Aliens in the Attic,5.1,2009
3400000,9444018,The Collector,6.2,2009
3000000,18097,Women in Trouble,4.5,2009
10000000,42333295,The Fourth Kind,5.6,2009
15000000,5024782,Solitary Man,5.7,2009
800000,867714,The Disappearance of Alice Creed,6.3,2009
78146652,60000000,Duplicity,5.5,2009
8500000,4440055,Bright Star,6.3,2009
9500000,17164377,Adventureland,6.3,2009
8000000,10848783,Extract,5.8,2009
3500000,44462,Defendor,6.3,2009
80000000,53825515,Nine,5,2009
6500000,1521261,The Messenger,6.9,2009
17000000,14899417,Away We Go,6.6,2009
17000000,20455276,My Life in Ruins,5.7,2009
30000000,95714875,My Sister's Keeper,7,2009
60000000,31720158,The Soloist,6.5,2009
19000000,91379051,Friday the 13th,5.6,2009
25000000,1037335,Crossing Over,5.8,2009
7300000,10329747,Harry Brown,6.6,2009
80000000,122444772,Surrogates,5.7,2009
50000000,12764201,Street Fighter: The Legend of Chun-Li,4.1,2009
35000000,73034460,Hotel for Dogs,5.6,2009
20000000,73830340,Obsessed,5.5,2009
15000000,113221,Tetro,6.7,2009
15000000,16633035,Whip It,6.6,2009
45000000,7810000,Solomon Kane,5.5,2009
4000000,143191,Survival of the Dead,4.6,2009
150000000,341131793,X-Men Origins: Wolverine,6.2,2009
4000000,4100000,S. Darko,3.8,2009
2900000,296557,Black Dynamite,7.4,2009
6000000,6670712,City Island,6.3,2009
40000000,19258519,Amelia,5.3,2009
25000000,4388563,Beyond a Reasonable Doubt,5.6,2009
8000000,29010817,New in Town,5.3,2009
25000000,2336172,Me and Orson Welles,6.4,2009
40000000,28972508,Shorts,4.8,2009
12500000,27206120,Sorority Row,5.3,2009
23000000,9366227,Ch̩ri,5.8,2009
10000000,7022728,The Joneses,6,2009
20000000,18599102,Fired Up!,5.9,2009
75,134,Wanted,4.9,2009
10000000,295750,World's Greatest Dad,6.3,2009
1700000,1007962,The Girlfriend Experience,5.5,2009
15000000,6405245,Post Grad,5.1,2009
1000000,1296971,Paper Heart,5.1,2009
7000000,39462438,Crazy Heart,6.4,2009
2000000,7306,Stolen Lives,6,2009
2500000,352810,Like Dandelion Dust,7,2009
7000000,1429299,I Hope They Serve Beer in Hell,5.6,2009
1500000,56000,Beautiful,4.4,2009
58000000,85280250,Did You Hear About The Morgans?,5,2009
5000000,38610009,The Grudge 3,5.4,2009
250000,232732,Big Fan,5.7,2009
25000000,20719451,Mao's Last Dancer,6.7,2009
31192,10000,Down Terrace,6.5,2009
160000000,825500000,Inception,7.9,2010
200000000,623933331,Iron Man 2,6.6,2010
200000000,1025467110,Alice in Wonderland,6.3,2010
13000000,327803731,Black Swan,7.1,2010
250000000,954305868,Harry Potter and the Deathly Hallows: Part 1,7.4,2010
69000000,543513985,Despicable Me,7.1,2010
80000000,274470394,The Expendables,5.9,2010
165000000,494878759,How to Train Your Dragon,7.4,2010
80000000,294804195,Shutter Island,7.6,2010
170000000,400062763,TRON: Legacy,6.3,2010
260000000,591794936,Tangled,7.3,2010
200000000,1063171911,Toy Story 3,7.5,2010
110000000,293329073,Salt,6.2,2010
18000000,35692920,127 Hours,6.9,2010
8000000,74952305,Easy A,6.6,2010
155000000,415686217,The Chronicles of Narnia: The Voyage of the Dawn Treader,6,2010
28000000,96188903,Kick-Ass,7,2010
100000000,278346189,The Tourist,6,2010
150000000,335154643,Prince of Persia: The Sands of Time,6.1,2010
200000000,310669540,Robin Hood,6.1,2010
38000000,252276927,True Grit,7,2010
125000000,232713139,Clash of the Titans,5.6,2010
150000000,215283742,The Sorcerer's Apprentice,5.8,2010
40000000,224920315,The Social Network,7.1,2010
60000000,47664559,Scott Pilgrim vs. the World,7.2,2010
100000000,310650585,Little Fockers,5.4,2010
40000000,126248813,Predators,5.8,2010
95000000,226497209,Percy Jackson & the Olympians: The Lightning Thief,6,2010
100000000,167805466,Unstoppable,6.2,2010
165000000,752600867,Shrek Forever After,6,2010
25000000,114977104,Dear John,6.5,2010
110000000,177238796,The A-Team,6.2,2010
58000000,71664962,RED,6.5,2010
20000000,31327899,Machete,6.2,2010
80000000,271430189,Grown Ups,6.1,2010
80000000,157107755,The Book of Eli,6.5,2010
55000000,152263880,Date Night,5.9,2010
37000000,154026136,The Town,6.9,2010
68000000,698491347,The Twilight Saga: Eclipse,5.9,2010
130000000,321885765,Megamind,6.6,2010
150000000,318502923,The Last Airbender,4.7,2010
100000000,170432927,The Other Guys,6.1,2010
1500000,97009150,Insidious,6.7,2010
30000000,159291809,Step Up 3D,6.5,2010
15000000,414211549,The King's Speech,7.4,2010
30000000,102820008,Love & Other Drugs,6.5,2010
30000000,20348249,The Way Back,6.7,2010
32000000,18409891,Repo Men,6.1,2010
7000000,7644937,Last Night,6.1,2010
117000000,261930431,Knight and Day,5.9,2010
60000000,204594016,Eat Pray Love,5.7,2010
1000000,12355734,Blue Valentine,6.9,2010
40000000,136000000,The Bounty Hunter,5.5,2010
19000000,29922472,Leap Year,6.3,2010
100000000,94882889,Green Zone,6.3,2010
112000000,237382724,Gulliver's Travels,5,2010
35000000,77477008,The Back-Up Plan,5.7,2010
44000000,48190704,Charlie St. Cloud,6.8,2010
19000000,49830607,The Switch,5.8,2010
10000000,2995811,The Runaways,6.3,2010
52000000,216485654,Valentine's Day,5.6,2010
25000000,36993168,Don't Be Afraid of the Dark,5.4,2010
20000000,136150434,Saw 3D,5.8,2010
40000000,357852395,The Karate Kid,6.1,2010
65000000,211780824,Due Date,6.2,2010
8000000,3453043,Wild Target,6.1,2010
52000000,52615806,From Paris with Love,6.1,2010
45000000,60222298,The Ghost Writer,6.5,2010
8000000,6491240,It's Kind of a Funny Story,6.9,2010
30000000,51148651,The Next Three Days,6.8,2010
35000000,115664037,A Nightmare on Elm Street,5.5,2010
25000000,23580000,The Losers,6.2,2010
25000000,9190869,The Fighter,7.1,2010
40000000,90029656,Get Him to the Greek,5.9,2010
47000000,10539000,Jonah Hex,4.4,2010
20000000,80547866,Vampires Suck,4.3,2010
2000000,7871522,Inside Job,7.6,2010
75000000,98159963,Killers,5.7,2010
26000000,67918658,Legion,5,2010
100000000,288347692,Sex and the City 2,5.5,2010
20000000,32005248,You Again,6,2010
35000000,93246388,Nanny McPhee and the Big Bang,6,2010
36000000,64572262,Hot Tub Time Machine,5.9,2010
20000000,24145613,Let Me In,6.6,2010
14000000,1755212,Flipped,7.2,2010
80000000,140073390,Legend of the Guardians: The Owls of Ga'Hoole,6.5,2010
32000000,69055695,Takers,6.1,2010
55000000,89519773,Burlesque,6.8,2010
15000000,4882577,The Company Men,6.4,2010
