budget,revenue,original_title,vote_average,release_year
32.2,75.76,Hitman: Agent 47,5.5,2015
92,86.32,In the Heart of the Sea,6.4,2015
32.2,126.9,Creed,7.3,2015
32.2,129.53,Trainwreck,6.1,2015
11.96,30.22,Eye in the Sky,7.2,2015
23,39.54,Legend,6.7,2015
138,118.12,Pan,5.9,2015
91.08,226.53,The Peanuts Movie,6.4,2015
32.2,44.73,Concussion,6.9,2015
23,48.2,The Night Before,6.1,2015
2.3,4.8,Knock Knock,4.8,2015
31.28,57.97,The Longest Ride,7.3,2015
73.6,428.89,Hotel Transylvania 2,6.8,2015
15.64,22.08,Love the Coopers,5.3,2015
32.2,56.29,The Walk,6.8,2015
10.12,1.71,Tracers,5.9,2015
28.52,96.03,Vacation,6.1,2015
32.2,87.8,Poltergeist,5,2015
3.68,0.17,Maggie,5.1,2015
46,3.06,Child 44,5.9,2015
4.6,54.26,The Gift,6.6,2015
46,221.13,Daddy's Home,5.7,2015
58.88,89.77,The Little Prince,7.5,2015
10.98,16.87,The Dressmaker,6.9,2015
7.82,40.05,The DUFF,6.8,2015
9.2,48.65,Sinister 2,5.5,2015
27.6,98.99,Paul Blart: Mall Cop 2,5.3,2015
3.68,46.15,The Boy Next Door,3.9,2015
27.6,45.32,Entourage,6.2,2015
21.16,73.42,The Wedding Ringer,6.5,2015
13.8,13.67,Scouts Guide to the Zombie Apocalypse,6.2,2015
4.6,90.57,The Visit,5.9,2015
48.76,91.79,Black Mass,6.3,2015
8.19,0.05,Heist,5.4,2015
13.8,56.62,Krampus,5.9,2015
18.4,0.19,Dark Places,5.7,2015
4.6,50.07,No Escape,6.7,2015
0.64,16.55,Dope,7.3,2015
25.76,25.95,American Ultra,5.9,2015
10.12,56.69,Woman in Gold,7.3,2015
27.6,96.61,Sisters,5.9,2015
11.04,29.67,Project Almanac,6.3,2015
23,66.82,The Transporter Refueled,5.3,2015
50.6,68.71,Crimson Peak,6.4,2015
13.62,112.62,Magic Mike XXL,6.3,2015
9.2,71.85,Paranormal Activity: The Ghost Dimension,5,2015
13.8,7.58,Trumbo,7.2,2015
17.94,29.61,Secret in Their Eyes,6.2,2015
68.08,286.67,The SpongeBob Movie: Sponge Out of Water,5.7,2015
18.4,40.45,Max,7,2015
36.8,9.81,The Gunman,5.6,2015
0.92,57.85,Unfriended,5.6,2015
32.2,47.55,Hot Pursuit,5.5,2015
9.2,95.96,Insidious: Chapter 3,6.3,2015
5.52,38.08,The Lady in the Van,5.9,2015
36.8,31.49,Victor Frankenstein,5.5,2015
7.36,3.46,Anomalisa,6.7,2015
1.84,1.36,The Diary of a Teenage Girl,6.8,2015
10.12,25.2,Irrational Man,6.1,2015
16.56,38.02,Ricki and the Flash,5.5,2015
11.04,55.45,The Perfect Guy,5.6,2015
9.2,6.98,While We're Young,5.9,2015
36.8,97.99,Get Hard,5.9,2015
23,22.91,The 33,5.8,2015
12.88,14.72,Suffragette,7.1,2015
5.52,10.23,We Are Your Friends,6.2,2015
9.2,79.1,The Second Best Exotic Marigold Hotel,6.4,2015
18.4,5.91,Little Boy,7.1,2015
34.04,24.15,Aloha,5.2,2015
25.76,6.44,Our Brand Is Crisis,5.7,2015
6.44,0.53,Freeheld,7.1,2015
2.76,0.64,Love,4.7,2015
8.83,2.34,Truth,6.4,2015
9.2,9.97,Danny Collins,6.6,2015
13.8,2.78,Rock the Kasbah,5.1,2015
0.92,13.29,"Hello, My Name Is Doris",6.6,2015
11.96,1.64,The Vatican Tapes,4.5,2015
7.36,1.3,99 Homes,6.8,2015
12.88,11.33,Hot Tub Time Machine 2,5,2015
3.68,0.13,Manglehorn,5,2015
7.36,33.11,A Walk in the Woods,5.4,2015
3.04,58.98,The Lazarus Effect,4.9,2015
32.2,13.28,Unfinished Business,4.9,2015
1.84,0.04,Lost River,5.7,2015
0.09,39.25,The Gallows,5,2015
9.2,3.07,By the Sea,5.4,2015
8.28,19.85,Black or White,6.7,2015
11.96,1.52,I Saw the Light,5.6,2015
4.6,2.15,Jem and the Holograms,5.7,2015
5.52,0.08,Beasts of No Nation,7.5,2015
2.76,3.12,Demonic,5,2015
0.41,0.71,The D Train,4.2,2015
9.2,0.02,Strangerland,5,2015
1.84,2.58,Captive,5.7,2015
4.6,4.46,90 Minutes in Heaven,5.7,2015
0.55,6.52,Grandma,5.6,2015
2.76,62.37,War Room,6.9,2015
12.42,0.17,Stonewall,5.6,2015
151.98,572.69,Interstellar,8,2014
156.59,712.29,Guardians of the Galaxy,7.9,2014
156.59,658.37,Captain America: The Winter Soldier,7.6,2014
18.42,72.53,John Wick,7,2014
115.14,692.75,The Hunger Games: Mockingjay - Part 1,6.6,2014
230.27,879.75,The Hobbit: The Battle of the Five Armie,7.1,2014
151.98,600.65,Big Hero 6,7.8,2014
12.9,215.13,The Imitation Game,8,2014
31.32,320.83,The Maze Runner,7,2014
16.58,95.07,Birdman,7.3,2014
56.19,340.19,Gone Girl,7.9,2014
62.63,195.1,Fury,7.4,2014
116.98,321.85,Night at the Museum: Secret of the Tomb,6.1,2014
78.29,265.96,Divergent,6.9,2014
230.27,687.13,X-Men: Days of Future Past,7.6,2014
36.84,426.8,Lucy,6.3,2014
115.14,439.54,Teenage Mutant Ninja Turtles,5.8,2014
36.84,116.12,Sex Tape,5.3,2014
7.83,35.64,Nightcrawler,7.6,2014
193.43,226.13,Transformers: Age of Extinction,5.9,2014
27.63,160.82,The Grand Budapest Hotel,7.9,2014
3.04,12.89,Whiplash,8.2,2014
156.59,652.32,Dawn of the Planet of the Apes,7.4,2014
50.66,177.15,The Equalizer,7.2,2014
38.69,98.23,Horrible Bosses 2,6.1,2014
184.22,650.03,The Amazing Spider-Man 2,6.6,2014
163.95,341.3,Edge of Tomorrow,7.7,2014
40.53,10.41,The Interview,6.1,2014
54.16,499.51,American Sniper,7.5,2014
128.95,246.88,Exodus: Gods and Kings,5.6,2014
147.37,487.33,Godzilla,6.2,2014
165.8,698.57,Maleficent,7,2014
13.82,29.99,The November Man,6,2014
4.61,94.44,Ouija,4.9,2014
133.56,561.06,How to Train Your Dragon 2,7.7,2014
1.84,12.43,It Follows,6.6,2014
82.9,189.9,The Expendables 3,6.2,2014
55.27,432.14,The Lego Movie,7.5,2014
87.5,105.17,Seventh Son,5.1,2014
13.82,111.64,The Theory of Everything,7.8,2014
15.66,125.84,Let's Be Cops,6.4,2014
64.48,198.52,Dracula Untold,6.1,2014
121.58,344.08,Penguins of Madagascar,6.5,2014
46.05,196.1,Into the Woods,5.6,2014
101.32,310.94,300: Rise of an Empire,6.1,2014
23.03,61.7,The Giver,6.3,2014
46.05,173.57,22 Jump Street,7,2014
25.79,48.99,A Walk Among the Tombstones,6.2,2014
50.66,238.75,Paddington,7.1,2014
6.45,2.17,Cake,6.1,2014
10.13,42.34,Chef,7.2,2014
8.29,100.2,The Purge: Anarchy,6.6,2014
14.74,18.13,Left Behind,3.8,2014
3.68,40.85,Boyhood,7.6,2014
18.42,11.06,A Most Violent Year,6.4,2014
92.11,224.19,Hercules,5.6,2014
115.14,334.02,Noah,5.5,2014
46.05,77.11,The Judge,7.2,2014
36.84,113.75,Blended,6.7,2014
16.58,247,Neighbors,6.2,2014
10.13,72.65,If I Stay,7.2,2014
41.45,79.37,Step Up All In,6.7,2014
11.05,281.07,The Fault in Our Stars,7.8,2014
23.03,141.85,Ride Along,6.1,2014
18.42,10.23,Inherent Vice,6.3,2014
55.27,46.56,Jack Ryan: Shadow Recruit,5.9,2014
46.05,205.23,Non-Stop,6.8,2014
5.07,2.76,Predestination,7.2,2014
11.61,17.19,The Drop,6.6,2014
110.53,220.49,RoboCop,5.7,2014
92.11,94.91,Transcendence,5.9,2014
36.84,181.25,The Other Woman,6.2,2014
133.56,251.38,Mr. Peabody & Sherman,6.8,2014
59.87,36.3,Sin City: A Dame to Kill For,6.2,2014
94.87,460.72,Rio 2,6.5,2014
36.84,156.44,Dumb and Dumber To,5.5,2014
64.48,142.75,The Monuments Men,5.7,2014
59.87,150.55,Unbroken,7.2,2014
18.42,61.52,Selma,7.5,2014
4.51,3.22,Mommy,8,2014
13.82,48.36,Wild,6.9,2014
119.74,108.53,Pompeii,5.1,2014
23.95,33.09,The Best of Me,7.2,2014
59.87,123.26,Annie,6.1,2014
46.05,89.75,The Book of Life,7.3,2014
11.97,50.51,St. Vincent,7.1,2014
60.79,187.24,Need for Speed,6.2,2014
20.26,81.87,The Hundred-Foot Journey,7.2,2014
55.27,99.71,The Boxtrolls,6.6,2014
9.21,26.6,Big Eyes,6.8,2014
16.58,245.55,The Prince,4.6,2014
3.68,0.55,The Signal,5.8,2014
46.05,147.93,Into the Storm,5.7,2014
46.05,139.24,Planes: Fire & Rescue,5.9,2014
32.24,16.13,Sabotage,5.4,2014
12.16,49.58,No Good Deed,5.8,2014
4.61,38.5,Still Alice,7.5,2014
4.61,36.94,"As Above, So Below",6.1,2014
22.11,11.14,Foxcatcher,6.5,2014
18.42,31.39,Endless Love,6.6,2014
11.28,2.11,The Rover,6,2014
22.11,64.64,Think Like a Man Too,6.2,2014
13.82,8.39,Suite Fran̤aise,6.9,2014
13.82,0.05,Walk of Shame,5.7,2014
5.99,235.13,Annabelle,5.6,2014
59.87,65.54,"I, Frankenstein",5.1,2014
7.37,23.99,That Awkward Moment,6,2014
24.87,26.56,Draft Day,6.5,2014
25.79,63.46,Brick Mansions,5.8,2014
1.84,6.15,The Babadook,6.5,2014
18.42,92.59,Tammy,5.1,2014
55.27,28.37,Winter's Tale,5.9,2014
4.61,2.18,The Guest,6.6,2014
20.72,14.3,The Water Diviner,6.8,2014
4.61,6.29,The Green Inferno,4.8,2014
25.79,92.71,"Alexander and the Terrible, Horrible, No",6.2,2014
18.24,38.04,This Is Where I Leave You,6.5,2014
14.74,2.24,The Homesman,6.2,2014
7.83,6.91,Big Game,5.2,2014
36.84,62.03,Jersey Boys,6.7,2014
11.51,45.14,About Last Night,5.8,2014
23.03,35.28,Million Dollar Arm,6.6,2014
5.07,5.05,Wish I Was Here,6.3,2014
6.17,1.32,Infinitely Polar Bear,7,2014
12.25,4.96,Under the Skin,6,2014
5.53,3.21,Veronica Mars,6.3,2014
20.26,62.45,Son of God,5.8,2014
5.53,0.01,Barefoot,6.5,2014
3.22,4.75,Justice League: War,7,2014
7.83,0.71,The Zero Theorem,5.7,2014
13.82,27.75,When the Game Stands Tall,6.2,2014
1.84,0.04,Decoding Annie Parker,5.2,2014
0.18,16.43,The Quiet Ones,5.1,2014
13.82,29.06,A Most Wanted Man,6.3,2014
5.99,12.77,The Pyramid,4.7,2014
6.08,1.43,Clouds of Sils Maria,6.8,2014
4.61,2.26,Kill the Messenger,6.5,2014
0.92,0.01,Honeymoon,5.3,2014
1.84,4.27,Locke,6.8,2014
33.16,48.29,Dolphin Tale 2,6.8,2014
0.92,24.41,The Woman in Black 2: Angel of Death,4.9,2014
46.05,74.04,Muppets Most Wanted,6.2,2014
2.58,1.68,Tusk,4.9,2014
5.53,0.94,5 Flights Up,5.9,2014
11.05,93.34,Heaven is for Real,6.1,2014
64.48,56.44,The Legend of Hercules,4.4,2014
27.63,23.32,And So It Goes,5.7,2014
2.21,0.08,Life After Beth,4.8,2014
5.07,4.61,Miss Julie,5.4,2014
5.53,0.03,Song One,5.7,2014
0.92,0.36,A Girl Walks Home Alone at Night,7,2014
0.29,0.11,Afflicted,6.1,2014
6.45,13.47,Beyond the Lights,6.9,2014
4.61,9.61,Moms' Night Out,5.7,2014
11.97,41.73,Earth to Echo,5.7,2014
23.03,36.08,The Gambler,5.6,2014
11.7,3.16,The Grand Seduction,6.7,2014
3.68,2.18,Joe,6.5,2014
0.46,13.82,Parts Per Billion,4.8,2014
4.61,0.07,Better Living Through Chemistry,5.9,2014
15.66,27.44,God's Not Dead,6.1,2014
6.45,33.56,Devil's Due,4.5,2014
4.61,3.7,My Old Lady,6,2014
7.37,0.05,Aloft,5.1,2014
5.43,21.19,Mrs. Brown's Boys D'Movie,5.2,2014
39.58,2789.71,Star Wars,7.9,1977
50.37,667.17,The Spy Who Loved Me,6.2,1977
4.32,256.22,The Rescuers,6.6,1977
14.39,137.62,Annie Hall,7.6,1977
71.96,1092.96,Close Encounters of the Third Kind,7,1977
79.15,182.59,A Bridge Too Far,6.4,1977
12.59,57.56,Sinbad and the Eye of the Tiger,5.9,1977
12.59,853.08,Saturday Night Fever,6.3,1977
12.23,111.76,High Anxiety,6.2,1977
19.79,95.03,The Gauntlet,6.7,1977
50.37,110.63,Exorcist II: The Heretic,4.6,1977
21.59,107.93,Airport '77,5.7,1977
0.04,25.18,Eraserhead,7.1,1977
21.59,52.95,Orca: The Killer Whale,5,1977
79.15,43.17,Sorcerer,7.4,1977
2.91,4.53,The Last Wave,5.8,1977
1.8,61.16,Kingdom of the Spiders,5.7,1977
4.32,32.38,Wizards,6,1977
0.83,89.94,The Hills Have Eyes,6,1977
240.89,2827.12,Avatar,7.1,2009
71.15,324.36,Inglourious Basterds,7.7,2009
35.57,92.83,Underworld: Rise of the Lycans,6.2,2009
254.1,949.28,Harry Potter and the Half-Blood Prince,7.3,2009
177.87,743.34,Up,7.6,2009
152.46,392.01,Star Trek,7.3,2009
203.28,377.44,Terminator Salvation,5.8,2009
30.49,214.28,District 9,7.1,2009
91.48,532.62,Sherlock Holmes,6.9,2009
7.62,61.72,(500) Days of Summer,7.3,2009
91.48,901.23,Ice Age: Dawn of the Dinosaurs,6.4,2009
35.57,466.8,The Hangover,7.1,2009
132.13,188.3,Watchmen,6.8,2009
203.28,782.28,2012,5.6,2009
30.49,49.22,9,6.5,2009
152.46,362.46,Angels & Demons,6.3,2009
106.72,271.43,The Princess and the Frog,6.5,2009
29.48,314.28,The Blind Side,7.1,2009
23.99,104.07,Zombieland,7.1,2009
50.82,721.47,The Twilight Saga: New Moon,5.6,2009
40.66,180.17,He's Just Not That Into You,6,2009
177.87,307.43,G.I. Joe: The Rise of Cobra,5.7,2009
40.66,322.58,The Proposal,6.7,2009
38.62,208.67,The Ugly Truth,6.3,2009
101.64,246.97,Cloudy with a Chance of Meatballs,6.4,2009
40.66,47.23,Fantastic Mr. Fox,7.5,2009
60.98,126.64,Coraline,7.1,2009
152.46,419.88,Night at the Museum: Battle of the Smith,5.9,2009
20.33,138.5,17 Again,6,2009
203.28,330.57,A Christmas Carol,6.6,2009
66.07,95.06,The Lovely Bones,6.6,2009
26.43,186.3,Paul Blart: Mall Cop,5.4,2009
16.26,48.59,Hachi: A Dog's Tale,7.7,2009
53.87,128.77,Law Abiding Citizen,7.2,2009
30.49,33.88,The Box,5.3,2009
20.33,35.13,Crank: High Voltage,5.9,2009
33.54,20.98,Pandorum,6.2,2009
30.49,92.33,Drag Me to Hell,6.1,2009
50.82,158,Knowing,5.7,2009
5.08,9.92,Moon,7.4,2009
152.46,297.62,G-Force,5.1,2009
101.64,152.63,The Taking of Pelham 1 2 3,6.1,2009
18.8,32.44,The Invention of Lying,5.8,2009
40.66,110.11,Confessions of a Shopaholic,6,2009
50.82,41.5,Gamer,5.6,2009
47.77,3.61,Mr. Nobody,7.8,2009
71.15,174.66,Couples Retreat,5.3,2009
26.43,44.03,Brothers,6.7,2009
32.52,28.09,The Road,6.7,2009
177.87,387.77,Monsters vs Aliens,6,2009
3.05,2.4,Fish Tank,6.6,2009
40.66,131.67,Julie & Julia,6.5,2009
15.25,8.6,Chloe,5.9,2009
81.31,217.62,Public Enemies,6.5,2009
16.26,32.07,Jennifer's Body,5.2,2009
20.33,42.28,Orphan,6.5,2009
15.25,40.76,All About Steve,4.6,2009
40.66,189.22,The Final Destination,5.5,2009
76.23,450.41,Alvin and the Chipmunks: The Squeakquel,5.3,2009
4.57,3.67,After.Life,5.2,2009
30.49,116.54,Bride Wars,5.8,2009
10.16,64.69,Precious,6.8,2009
60.98,89.22,State of Play,6.6,2009
16.26,77.77,The Unborn,4.9,2009
14.94,8.18,"New York, I Love You",5.6,2009
41.67,93.14,"I Love You, Man",6.4,2009
22.36,36.01,The Informant!,6,2009
50.82,108.05,Race to Witch Mountain,5.4,2009
27.44,29.48,Case 39,6,2009
50.82,36.94,The Boat That Rocked,7.1,2009
20.33,52.26,Daybreakers,5.9,2009
39.64,102.89,The Time Traveler's Wife,6.5,2009
11.18,0.8,Antichrist,6.2,2009
18.3,36.73,Love Happens,5.5,2009
38.62,46.21,Push,5.8,2009
17.28,30.02,Brooklyn's Finest,6.1,2009
11.18,69.35,Saw VI,5.9,2009
35.57,27.86,The Young Victoria,6.9,2009
7.11,31.95,A Serious Man,6.4,2009
14.23,23.23,A Perfect Getaway,6.1,2009
40.66,12.41,Whiteout,5.2,2009
13.21,10.83,I Love You Phillip Morris,6.3,2009
13.21,0.77,Enter the Void,7.1,2009
20.33,17.56,12 Rounds,5.9,2009
9.15,71.15,3 Idiots,7.8,2009
152.46,850.01,Transformers: Revenge of the Fallen,6,2009
24.39,69.86,The Men Who Stare at Goats,5.8,2009
40.66,61.45,Ninja Assassin,6.1,2009
20.33,5.3,Bandslam,5.5,2009
101.64,101.73,Where the Wild Things Are,6.3,2009
86.39,222.7,It's Complicated,6.2,2009
101.64,69.82,Land of the Lost,5.4,2009
60.98,124.24,Invictus,6.9,2009
71.15,106.67,Planet 51,5.7,2009
60.98,63.38,Year One,4.5,2009
4.57,0.76,Life During Wartime,5.1,2009
12.2,1.67,Ondine,6.2,2009
15.25,102.39,My Bloody Valentine,5.3,2009
35.57,93.73,Old Dogs,5.2,2009
71.15,39.68,Agora,6.6,2009
8.13,10.8,The Boondock Saints II: All Saints Day,5.9,2009
25.41,10.76,The Bad Lieutenant: Port of Call - New O,5.8,2009
30.49,62.82,The Imaginarium of Doctor Parnassus,6.2,2009
20.33,1.03,Horsemen,6,2009
20.33,23.32,Armored,5.6,2009
40.66,28.63,Cirque du Freak: The Vampire's Assistant,5.5,2009
9.15,1,Leaves of Grass,5.6,2009
7.62,26.52,An Education,6.8,2009
76.23,62.47,Funny People,5.5,2009
25.41,166.35,Up in the Air,6.6,2009
66.07,44.81,Astro Boy,6,2009
50.82,61.15,The International,5.8,2009
14.23,0.89,Universal Soldier: Regeneration,5.3,2009
86.39,369.12,Fast & Furious,6.4,2009
20.33,17.72,Capitalism: A Love Story,6.9,2009
15.25,40.07,Halloween II,5.2,2009
35.57,158.1,Hannah Montana: The Movie,5.8,2009
15.25,8.93,Banlieue 13 - Ultimatum,5.9,2009
45.74,58.83,Aliens in the Attic,5.1,2009
3.46,9.6,The Collector,6.2,2009
3.05,0.02,Women in Trouble,4.5,2009
10.16,43.03,The Fourth Kind,5.6,2009
15.25,5.11,Solitary Man,5.7,2009
0.81,0.88,The Disappearance of Alice Creed,6.3,2009
79.43,60.98,Duplicity,5.5,2009
8.64,4.51,Bright Star,6.3,2009
9.66,17.45,Adventureland,6.3,2009
8.13,11.03,Extract,5.8,2009
3.56,0.05,Defendor,6.3,2009
81.31,54.71,Nine,5,2009
6.61,1.55,The Messenger,6.9,2009
17.28,15.14,Away We Go,6.6,2009
17.28,20.79,My Life in Ruins,5.7,2009
30.49,97.28,My Sister's Keeper,7,2009
60.98,32.24,The Soloist,6.5,2009
19.31,92.88,Friday the 13th,5.6,2009
25.41,1.05,Crossing Over,5.8,2009
7.42,10.5,Harry Brown,6.6,2009
81.31,124.45,Surrogates,5.7,2009
50.82,12.97,Street Fighter: The Legend of Chun-Li,4.1,2009
35.57,74.23,Hotel for Dogs,5.6,2009
20.33,75.04,Obsessed,5.5,2009
15.25,0.12,Tetro,6.7,2009
15.25,16.91,Whip It,6.6,2009
45.74,7.94,Solomon Kane,5.5,2009
4.07,0.15,Survival of the Dead,4.6,2009
152.46,346.73,X-Men Origins: Wolverine,6.2,2009
4.07,4.17,S. Darko,3.8,2009
2.95,0.3,Black Dynamite,7.4,2009
6.1,6.78,City Island,6.3,2009
40.66,19.57,Amelia,5.3,2009
25.41,4.46,Beyond a Reasonable Doubt,5.6,2009
8.13,29.49,New in Town,5.3,2009
25.41,2.37,Me and Orson Welles,6.4,2009
40.66,29.45,Shorts,4.8,2009
12.71,27.65,Sorority Row,5.3,2009
23.38,9.52,Ch̩ri,5.8,2009
10.16,7.14,The Joneses,6,2009
20.33,18.9,Fired Up!,5.9,2009
0,0,Wanted,4.9,2009
10.16,0.3,World's Greatest Dad,6.3,2009
1.73,1.02,The Girlfriend Experience,5.5,2009
15.25,6.51,Post Grad,5.1,2009
1.02,1.32,Paper Heart,5.1,2009
7.11,40.11,Crazy Heart,6.4,2009
2.03,0.01,Stolen Lives,6,2009
2.54,0.36,Like Dandelion Dust,7,2009
7.11,1.45,I Hope They Serve Beer in Hell,5.6,2009
1.52,0.06,Beautiful,4.4,2009
58.95,86.68,Did You Hear About The Morgans?,5,2009
5.08,39.24,The Grudge 3,5.4,2009
0.25,0.24,Big Fan,5.7,2009
25.41,21.06,Mao's Last Dancer,6.7,2009
0.03,0.01,Down Terrace,6.5,2009
160,825.5,Inception,7.9,2010
200,623.93,Iron Man 2,6.6,2010
200,1025.47,Alice in Wonderland,6.3,2010
13,327.8,Black Swan,7.1,2010
250,954.31,Harry Potter and the Deathly Hallows: Pa,7.4,2010
69,543.51,Despicable Me,7.1,2010
80,274.47,The Expendables,5.9,2010
165,494.88,How to Train Your Dragon,7.4,2010
80,294.8,Shutter Island,7.6,2010
170,400.06,TRON: Legacy,6.3,2010
260,591.79,Tangled,7.3,2010
200,1063.17,Toy Story 3,7.5,2010
110,293.33,Salt,6.2,2010
18,35.69,127 Hours,6.9,2010
8,74.95,Easy A,6.6,2010
155,415.69,The Chronicles of Narnia: The Voyage of ,6,2010
28,96.19,Kick-Ass,7,2010
100,278.35,The Tourist,6,2010
150,335.15,Prince of Persia: The Sands of Time,6.1,2010
200,310.67,Robin Hood,6.1,2010
38,252.28,True Grit,7,2010
125,232.71,Clash of the Titans,5.6,2010
150,215.28,The Sorcerer's Apprentice,5.8,2010
40,224.92,The Social Network,7.1,2010
60,47.66,Scott Pilgrim vs. the World,7.2,2010
100,310.65,Little Fockers,5.4,2010
40,126.25,Predators,5.8,2010
95,226.5,Percy Jackson & the Olympians: The Light,6,2010
100,167.81,Unstoppable,6.2,2010
165,752.6,Shrek Forever After,6,2010
25,114.98,Dear John,6.5,2010
110,177.24,The A-Team,6.2,2010
58,71.66,RED,6.5,2010
20,31.33,Machete,6.2,2010
80,271.43,Grown Ups,6.1,2010
80,157.11,The Book of Eli,6.5,2010
55,152.26,Date Night,5.9,2010
37,154.03,The Town,6.9,2010
68,698.49,The Twilight Saga: Eclipse,5.9,2010
130,321.89,Megamind,6.6,2010
150,318.5,The Last Airbender,4.7,2010
100,170.43,The Other Guys,6.1,2010
1.5,97.01,Insidious,6.7,2010
30,159.29,Step Up 3D,6.5,2010
15,414.21,The King's Speech,7.4,2010
30,102.82,Love & Other Drugs,6.5,2010
30,20.35,The Way Back,6.7,2010
32,18.41,Repo Men,6.1,2010
7,7.64,Last Night,6.1,2010
117,261.93,Knight and Day,5.9,2010
60,204.59,Eat Pray Love,5.7,2010
1,12.36,Blue Valentine,6.9,2010
40,136,The Bounty Hunter,5.5,2010
19,29.92,Leap Year,6.3,2010
100,94.88,Green Zone,6.3,2010
112,237.38,Gulliver's Travels,5,2010
35,77.48,The Back-Up Plan,5.7,2010
44,48.19,Charlie St. Cloud,6.8,2010
19,49.83,The Switch,5.8,2010
10,3,The Runaways,6.3,2010
52,216.49,Valentine's Day,5.6,2010
25,36.99,Don't Be Afraid of the Dark,5.4,2010
20,136.15,Saw 3D,5.8,2010
40,357.85,The Karate Kid,6.1,2010
65,211.78,Due Date,6.2,2010
8,3.45,Wild Target,6.1,2010
52,52.62,From Paris with Love,6.1,2010
45,60.22,The Ghost Writer,6.5,2010
8,6.49,It's Kind of a Funny Story,6.9,2010
30,51.15,The Next Three Days,6.8,2010
35,115.66,A Nightmare on Elm Street,5.5,2010
25,23.58,The Losers,6.2,2010
25,9.19,The Fighter,7.1,2010
40,90.03,Get Him to the Greek,5.9,2010
47,10.54,Jonah Hex,4.4,2010
20,80.55,Vampires Suck,4.3,2010
2,7.87,Inside Job,7.6,2010
75,98.16,Killers,5.7,2010
26,67.92,Legion,5,2010
100,288.35,Sex and the City 2,5.5,2010
20,32.01,You Again,6,2010
35,93.25,Nanny McPhee and the Big Bang,6,2010
36,64.57,Hot Tub Time Machine,5.9,2010
20,24.15,Let Me In,6.6,2010
14,1.76,Flipped,7.2,2010
80,140.07,Legend of the Guardians: The Owls of Ga',6.5,2010
32,69.06,Takers,6.1,2010
55,89.52,Burlesque,6.8,2010
15,4.88,The Company Men,6.4,2010
32,42.05,Going the Distance,6,2010
24,23.08,Faster,6.2,2010
3,177.51,Paranormal Activity 2,5.7,2010
15,9.46,Never Let Me Go,6.7,2010
20,65.46,The American,5.6,2010
30,55.58,Cop Out,5.5,2010
0.5,4.24,Monsters,6.3,2010
38,105.61,Life as We Know It,6.5,2010
12,6.81,Centurion,5.7,2010
3.2,5.33,Beginners,6.8,2010
